source_file,file_size_bytes,sha256,rows,columns
Crop Recommendation using Soil Properties and Weather Prediction.csv,876575,29e2ff15eef86baf4e3b3e6aa73f9ed3bea6efd53f6238e2930c85afbdab6d32,3867,29
Crop and fertilizer dataset.csv,376859,71600a069b36597e7477bf4bb2808396180592c10e2966378cfdce4a9258de95,4513,11
Crop_Recommendation.csv,142636,14ed22586ae02e8647b3e4e8e848266479952f7c37b13024c17b9bf4687bea5b,2200,8
crop yield prediction dataset.csv,36351000,dc1ca9cb43241d92b41308449b3130c0b3b2b0cc8c209114985e6dfbd000bca9,246091,15
crop-yield.csv,1088863,26cc170050e787eb9ed03f50a6a2ac9a72aa67ad27a4fccb738fdc91f2005917,10000,20
crop_data.csv,24892,970258c0ef6b385e8bc358ed730631e771be6ccbdb8fd316a6638c8d151edee3,694,7
crop_yield.csv,2161826,011f88398d9e6c0213bd2b12db9867e7af10d6bb913f8a9dafd6aec0db87a70d,19689,16
data_core.csv,366695,de2f5f05c3a00ea473c31a6f9a5b752f994e9f67edb42904f49e6201becaccc3,8000,9
original_dataset.csv,237245,68065dba3be748597213b1d4abffe911854245d1566d253f978e65b763f3147e,5000,9
